case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-single_bridge-1,single_bridge,train,A0,PASS,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,0.0033416250080335885,23,1,1.0,1.0,False
eval-single_bridge-1,single_bridge,train,A1,PASS,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,0.0032511670142412186,23,1,0.0,0.0,True
eval-single_bridge-1,single_bridge,train,A2,PASS,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,0.004553375008981675,23,1,1.0,1.0,True
eval-single_bridge-1,single_bridge,train,A5,PASS,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,0.0047615419898647815,23,1,1.0,1.0,True
eval-single_bridge-1,single_bridge,train,A3,DEFERRED_USER,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,,,,,,
eval-single_bridge-1,single_bridge,train,A4,DEFERRED_USER,f3e793e0fa21f6e7f446555422f81743b25597a0a0b5ca70a859da05f65f226e,,,,,,
eval-single_bridge-2,single_bridge,train,A0,PASS,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,0.0036853750061709434,23,1,1.0,1.0,False
eval-single_bridge-2,single_bridge,train,A1,PASS,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,0.003088458994170651,23,1,0.0,0.0,True
eval-single_bridge-2,single_bridge,train,A2,PASS,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,0.005059874994913116,23,1,1.0,1.0,True
eval-single_bridge-2,single_bridge,train,A5,PASS,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,0.005396666994784027,23,1,1.0,1.0,True
eval-single_bridge-2,single_bridge,train,A3,DEFERRED_USER,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,,,,,,
eval-single_bridge-2,single_bridge,train,A4,DEFERRED_USER,500724eb9c508315e822f011851cd6f99b85d079c7437ef0f1f9e0075cdbb41c,,,,,,
eval-single_bridge-3,single_bridge,train,A0,PASS,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,0.003756416990654543,23,1,1.0,1.0,False
eval-single_bridge-3,single_bridge,train,A1,PASS,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,0.003345708013512194,23,1,0.0,0.0,True
eval-single_bridge-3,single_bridge,train,A2,PASS,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,0.004662874998757616,23,1,1.0,1.0,True
eval-single_bridge-3,single_bridge,train,A5,PASS,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,0.0047550409799441695,23,1,1.0,1.0,True
eval-single_bridge-3,single_bridge,train,A3,DEFERRED_USER,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,,,,,,
eval-single_bridge-3,single_bridge,train,A4,DEFERRED_USER,f408da421f8fe0dc09f3acf495a3e310bc098fe11d518527021f37510708e5e6,,,,,,
eval-isolated_zone-0,isolated_zone,train,A0,PASS,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,0.00326024999958463,23,0,,,False
eval-isolated_zone-0,isolated_zone,train,A1,PASS,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,0.002841999987140298,23,0,,,True
eval-isolated_zone-0,isolated_zone,train,A2,PASS,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,0.008740582998143509,23,0,,,True
eval-isolated_zone-0,isolated_zone,train,A5,PASS,35850e330595422ef94192ab64e916ae07720a4feaa07b443bd2b6de840c21ea,0.00514854199718684,23,0,,,True
